GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US26087330000,26087330000,"Census Tract 3300, Lapeer County, Michigan",160,38,18,18,28,22,22,18,9,8,23,19,3,6,3,5,22,24,9,7,23,15
1400000US26087330500,26087330500,"Census Tract 3305, Lapeer County, Michigan",163,42,0,109,27,23,21,16,12,15,16,15,18,17,11,9,18,13,16,9,24,18
1400000US26087331000,26087331000,"Census Tract 3310, Lapeer County, Michigan",78,42,12,20,0,109,2,3,9,15,0,109,0,109,0,109,19,21,23,21,13,15
1400000US26087331500,26087331500,"Census Tract 3315, Lapeer County, Michigan",139,75,0,109,0,109,0,109,47,71,18,23,3,5,3,4,4,6,21,18,43,32
1400000US26087332000,26087332000,"Census Tract 3320, Lapeer County, Michigan",227,99,29,32,14,21,15,24,29,33,0,109,39,45,0,109,38,64,50,62,13,20
1400000US26087332500,26087332500,"Census Tract 3325, Lapeer County, Michigan",268,70,3,5,6,7,82,63,29,21,44,27,13,12,10,15,28,27,36,25,17,17
1400000US26087333000,26087333000,"Census Tract 3330, Lapeer County, Michigan",76,43,7,11,0,109,0,109,8,12,8,14,0,109,0,109,8,12,17,26,28,30
1400000US26087333500,26087333500,"Census Tract 3335, Lapeer County, Michigan",56,51,0,109,0,109,0,109,20,29,0,109,0,109,0,109,0,109,16,24,20,33
1400000US26087334000,26087334000,"Census Tract 3340, Lapeer County, Michigan",262,72,35,54,17,20,72,55,13,20,25,22,12,19,0,109,43,52,31,30,14,22
1400000US26087334500,26087334500,"Census Tract 3345, Lapeer County, Michigan",38,30,0,109,0,109,0,109,9,16,22,24,0,109,7,13,0,109,0,109,0,109
1400000US26087335000,26087335000,"Census Tract 3350, Lapeer County, Michigan",19,24,0,109,0,109,0,109,0,109,0,109,0,109,0,109,0,109,19,24,0,109
1400000US26087335500,26087335500,"Census Tract 3355, Lapeer County, Michigan",31,31,0,109,0,109,11,17,0,109,0,109,0,109,11,18,0,109,0,109,9,18
1400000US26087336000,26087336000,"Census Tract 3360, Lapeer County, Michigan",263,120,0,109,16,26,33,44,0,109,15,25,23,38,0,109,20,32,71,71,85,78
