GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",953,136,44,43,53,50,144,86,100,71,95,79,81,76,27,30,68,59,296,114,45,54
1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",1057,140,13,21,14,23,106,87,99,72,67,66,149,92,22,37,77,64,359,117,151,97
1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",1285,175,0,123,79,68,52,50,82,57,141,74,189,99,91,63,146,86,396,156,109,81
1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",770,139,0,123,5,10,32,37,84,65,132,98,25,29,67,63,29,34,385,139,11,16
1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",97,42,0,123,0,123,0,123,0,123,15,19,0,123,0,123,50,36,32,30,0,123
1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",296,101,27,44,31,42,0,123,18,26,57,52,0,123,0,123,96,79,67,54,0,123
1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",902,161,42,49,51,50,43,49,112,81,92,70,54,52,25,28,19,26,359,148,105,81
1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",243,87,0,123,27,41,0,123,17,28,39,45,31,50,27,41,22,28,73,66,7,13
1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",376,120,0,123,0,123,18,27,207,108,23,48,0,123,16,36,14,24,60,70,38,44
1400000US08001008401,08001008401,"Census Tract 84.01, Adams County, Colorado",197,84,66,63,13,14,30,27,14,17,25,32,0,123,0,123,1,9,24,19,24,28
1400000US08001008402,08001008402,"Census Tract 84.02, Adams County, Colorado",240,85,0,123,18,20,7,12,70,65,10,16,73,79,0,123,0,123,7,12,55,63
1400000US08001008505,08001008505,"Census Tract 85.05, Adams County, Colorado",549,176,23,28,50,71,215,113,46,39,36,58,13,22,0,123,0,123,166,110,0,123
1400000US08001008506,08001008506,"Census Tract 85.06, Adams County, Colorado",1748,174,13,23,54,68,152,78,271,139,391,123,126,105,115,89,210,114,288,113,128,90
1400000US08001008507,08001008507,"Census Tract 85.07, Adams County, Colorado",287,131,29,39,0,123,54,68,94,90,28,33,30,33,39,61,0,123,13,22,0,123
1400000US08001008508,08001008508,"Census Tract 85.08, Adams County, Colorado",390,95,0,123,18,22,42,43,76,62,92,60,21,25,26,41,77,65,38,33,0,123
1400000US08001008523,08001008523,"Census Tract 85.23, Adams County, Colorado",303,121,0,123,44,41,41,50,0,123,58,72,17,26,0,123,0,123,57,69,86,59
1400000US08001008524,08001008524,"Census Tract 85.24, Adams County, Colorado",159,79,0,123,46,57,0,123,15,25,0,123,31,33,12,18,31,50,11,18,13,20
1400000US08001008526,08001008526,"Census Tract 85.26, Adams County, Colorado",241,107,47,69,0,123,13,20,0,123,28,31,44,35,19,30,0,123,73,56,17,27
1400000US08001008529,08001008529,"Census Tract 85.29, Adams County, Colorado",1732,183,62,74,186,96,361,145,188,98,331,123,24,23,72,61,221,115,246,91,41,50
1400000US08001008533,08001008533,"Census Tract 85.33, Adams County, Colorado",1833,221,77,106,157,102,243,125,187,87,315,148,206,139,105,67,135,99,319,116,89,88
1400000US08001008534,08001008534,"Census Tract 85.34, Adams County, Colorado",135,80,0,123,13,21,22,27,0,123,33,31,37,58,0,123,30,45,0,123,0,123
1400000US08001008535,08001008535,"Census Tract 85.35, Adams County, Colorado",325,163,0,123,14,23,50,78,30,44,98,83,114,131,0,123,0,123,0,123,19,29
1400000US08001008536,08001008536,"Census Tract 85.36, Adams County, Colorado",35,38,15,20,0,123,0,123,19,30,0,123,0,123,1,17,0,123,0,123,0,123
1400000US08001008537,08001008537,"Census Tract 85.37, Adams County, Colorado",58,41,0,123,0,123,0,123,0,123,20,22,0,123,15,17,0,123,23,29,0,123
