GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US25025000100,25025000100,"Census Tract 1, Suffolk County, Massachusetts",1092,116,32,42,105,55,176,71,100,44,154,89,112,82,59,52,130,94,214,88,10,16
1400000US25025000201,25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",842,92,31,43,104,43,129,55,162,67,86,53,37,28,56,35,34,32,186,75,17,18
1400000US25025000202,25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",975,99,25,29,78,60,120,53,137,66,114,62,78,58,116,71,43,46,223,93,41,28
1400000US25025000301,25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",607,122,0,12,111,73,130,61,95,56,52,41,38,31,54,58,7,11,120,73,0,12
1400000US25025000302,25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",607,113,0,12,21,25,53,34,133,82,56,39,38,33,69,52,95,62,107,50,35,47
1400000US25025000401,25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",2175,202,176,115,74,57,129,78,335,123,425,132,300,126,56,60,151,102,333,111,196,101
1400000US25025000402,25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",796,103,9,15,28,35,55,37,71,37,119,69,42,42,39,33,67,34,327,114,39,46
1400000US25025000502,25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",1369,112,15,18,61,27,130,49,150,60,183,62,188,57,52,29,65,38,447,113,78,41
1400000US25025000503,25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",1016,86,10,12,24,23,206,84,95,45,63,42,109,61,47,35,61,52,303,106,98,70
1400000US25025000504,25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",2168,153,23,23,110,72,271,110,182,104,364,149,282,120,138,94,150,89,544,168,104,67
1400000US25025000601,25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",917,93,26,18,70,56,115,49,115,48,101,59,84,55,65,46,67,41,240,76,34,29
1400000US25025000602,25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",1674,93,60,44,67,66,178,85,201,88,266,103,140,59,87,51,162,66,446,108,67,33
1400000US25025000701,25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",1754,156,0,12,60,52,103,63,316,143,156,71,259,114,106,74,168,91,446,127,140,73
1400000US25025000703,25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",956,78,6,10,31,29,57,47,73,38,78,50,110,48,64,34,64,44,357,78,116,49
1400000US25025000704,25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",1906,134,28,32,116,67,168,74,180,110,226,112,286,116,98,81,158,88,512,147,134,87
1400000US25025000802,25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",2132,192,47,42,63,43,222,106,196,85,182,88,70,67,105,71,179,73,965,190,103,67
1400000US25025000803,25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",589,74,0,17,16,13,41,27,10,10,64,40,53,38,33,20,65,39,289,70,18,14
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",389,45,0,12,0,12,5,7,14,12,37,28,5,6,11,11,5,7,194,52,118,47
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",1158,129,88,52,33,25,83,43,171,67,121,48,126,67,76,49,80,45,281,69,99,52
1400000US25025010203,25025010203,"Census Tract 102.03, Suffolk County, Massachusetts",2924,217,35,42,82,55,136,81,381,161,227,87,365,127,261,119,59,48,900,199,478,176
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",875,93,34,21,9,15,63,62,46,34,36,28,109,70,39,36,27,21,433,101,79,53
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",234,34,0,17,4,5,9,11,35,22,34,24,25,16,18,14,20,19,85,28,4,8
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",1806,126,23,28,116,67,158,95,144,98,301,117,183,81,70,45,115,68,576,140,120,103
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",1188,107,49,60,15,18,9,14,36,28,52,38,90,48,65,84,79,50,656,124,137,67
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",777,60,51,26,44,25,67,39,84,43,106,42,112,52,25,20,59,35,200,48,29,17
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",763,49,29,32,17,17,113,54,95,41,104,34,84,39,34,24,73,34,173,48,41,30
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",1458,107,7,12,97,60,137,76,171,81,232,89,135,61,73,49,17,16,447,106,142,73
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",1753,156,257,109,173,76,139,62,159,87,159,88,179,83,177,98,109,53,315,97,86,63
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",968,134,49,41,132,61,105,49,153,81,82,62,79,36,43,37,82,65,192,74,51,45
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",796,118,124,60,50,32,111,62,54,47,59,39,87,54,45,30,51,40,143,66,72,50
1400000US25025010801,25025010801,"Census Tract 108.01, Suffolk County, Massachusetts",790,145,46,45,28,28,138,80,165,66,52,37,65,49,13,17,70,62,150,64,63,43
